path	filename	sentence	label	lentgh(sec)
datasets/fourthbrain/610daf3cb3a7b60345b49917.wav	610daf3cb3a7b60345b49917.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db1b7bee5593f5868a77a.wav	610db1b7bee5593f5868a77a.wav	 fourthbrain 	fourthbrain	1.3875
datasets/fourthbrain/610daf41b3a7b60345b49918.wav	610daf41b3a7b60345b49918.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610daedabee5593f5868a765.wav	610daedabee5593f5868a765.wav	 fourthbrain 	fourthbrain	1.575
datasets/fourthbrain/610db2b4b4ffdeeaa7aea073.wav	610db2b4b4ffdeeaa7aea073.wav	 fourthbrain 	fourthbrain	1.1059375
datasets/fourthbrain/610db2f4b3a7b60345b49951.wav	610db2f4b3a7b60345b49951.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db2a0b3a7b60345b49947.wav	610db2a0b3a7b60345b49947.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db3ebbee5593f5868a799.wav	610db3ebbee5593f5868a799.wav	 fourthbrain 	fourthbrain	0.8875
datasets/fourthbrain/610db5a2b4ffdeeaa7aea0d7.wav	610db5a2b4ffdeeaa7aea0d7.wav	 fourthbrain 	fourthbrain	1.0125
datasets/fourthbrain/610db3fbb3a7b60345b49976.wav	610db3fbb3a7b60345b49976.wav	 fourthbrain 	fourthbrain	0.825
datasets/fourthbrain/610db3feb4ffdeeaa7aea0a6.wav	610db3feb4ffdeeaa7aea0a6.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610dae7cb3a7b60345b49910.wav	610dae7cb3a7b60345b49910.wav	 fourthbrain 	fourthbrain	1.3875
datasets/fourthbrain/610db4efb4ffdeeaa7aea0c2.wav	610db4efb4ffdeeaa7aea0c2.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db5e2b4ffdeeaa7aea0e0.wav	610db5e2b4ffdeeaa7aea0e0.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db5adb4ffdeeaa7aea0d8.wav	610db5adb4ffdeeaa7aea0d8.wav	 fourthbrain 	fourthbrain	1.1375
datasets/fourthbrain/610db5bcbee5593f5868a7af.wav	610db5bcbee5593f5868a7af.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db6d43b684eae869a3e71.wav	610db6d43b684eae869a3e71.wav	 fourthbrain 	fourthbrain	0.7625
datasets/fourthbrain/610db4f9b4ffdeeaa7aea0c3.wav	610db4f9b4ffdeeaa7aea0c3.wav	 fourthbrain 	fourthbrain	1.1375
datasets/fourthbrain/610db5f1bee5593f5868a7b4.wav	610db5f1bee5593f5868a7b4.wav	 fourthbrain 	fourthbrain	1.1375
datasets/fourthbrain/610db6b83b684eae869a3e6a.wav	610db6b83b684eae869a3e6a.wav	 fourthbrain 	fourthbrain	1.075
datasets/fourthbrain/610db6cdb4ffdeeaa7aea124.wav	610db6cdb4ffdeeaa7aea124.wav	 fourthbrain 	fourthbrain	1.325
datasets/fourthbrain/610db6cdb4ffdeeaa7aea126.wav	610db6cdb4ffdeeaa7aea126.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db5d3b3a7b60345b499c0.wav	610db5d3b3a7b60345b499c0.wav	 fourthbrain 	fourthbrain	1.075
datasets/fourthbrain/610db5c7b3a7b60345b499bd.wav	610db5c7b3a7b60345b499bd.wav	 fourthbrain 	fourthbrain	1.575
datasets/fourthbrain/610db6cabee5593f5868a7dd.wav	610db6cabee5593f5868a7dd.wav	 fourthbrain 	fourthbrain	1.1375
datasets/fourthbrain/610db6b7b3a7b60345b499ee.wav	610db6b7b3a7b60345b499ee.wav	 fourthbrain 	fourthbrain	1.0125
datasets/fourthbrain/610db9cdbee5593f5868a899.wav	610db9cdbee5593f5868a899.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db6e5b3a7b60345b49a00.wav	610db6e5b3a7b60345b49a00.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db039b4ffdeeaa7aea056.wav	610db039b4ffdeeaa7aea056.wav	 fourthbrain 	fourthbrain	1.075
datasets/fourthbrain/610db74fb4ffdeeaa7aea156.wav	610db74fb4ffdeeaa7aea156.wav	 fourthbrain 	fourthbrain	0.825
datasets/fourthbrain/610db6d1bee5593f5868a7e0.wav	610db6d1bee5593f5868a7e0.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db9d03b684eae869a3f31.wav	610db9d03b684eae869a3f31.wav	 fourthbrain 	fourthbrain	1.0125
datasets/fourthbrain/610db6afb3a7b60345b499eb.wav	610db6afb3a7b60345b499eb.wav	 fourthbrain 	fourthbrain	1.0125
datasets/fourthbrain/610db22cb3a7b60345b4993e.wav	610db22cb3a7b60345b4993e.wav	 fourthbrain 	fourthbrain	0.825
datasets/fourthbrain/610db9f6bee5593f5868a8a9.wav	610db9f6bee5593f5868a8a9.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db21db3a7b60345b4993d.wav	610db21db3a7b60345b4993d.wav	 fourthbrain 	fourthbrain	1.2
datasets/fourthbrain/610db86ebee5593f5868a830.wav	610db86ebee5593f5868a830.wav	 fourthbrain 	fourthbrain	1.1375
datasets/fourthbrain/610db67fb3a7b60345b499e0.wav	610db67fb3a7b60345b499e0.wav	 fourthbrain 	fourthbrain	1.075
datasets/fourthbrain/610db88bb4ffdeeaa7aea18e.wav	610db88bb4ffdeeaa7aea18e.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db88b3b684eae869a3ec9.wav	610db88b3b684eae869a3ec9.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db78eb4ffdeeaa7aea161.wav	610db78eb4ffdeeaa7aea161.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db76b3b684eae869a3e95.wav	610db76b3b684eae869a3e95.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db95ab3a7b60345b49aac.wav	610db95ab3a7b60345b49aac.wav	 fourthbrain 	fourthbrain	1.075
datasets/fourthbrain/610db9fcb4ffdeeaa7aea20f.wav	610db9fcb4ffdeeaa7aea20f.wav	 fourthbrain 	fourthbrain	1.325
datasets/fourthbrain/610db77a3b684eae869a3e99.wav	610db77a3b684eae869a3e99.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db9e4b3a7b60345b49ad9.wav	610db9e4b3a7b60345b49ad9.wav	 fourthbrain 	fourthbrain	1.325
datasets/fourthbrain/610db375bee5593f5868a790.wav	610db375bee5593f5868a790.wav	 fourthbrain 	fourthbrain	1.0125
datasets/fourthbrain/610db331bee5593f5868a78a.wav	610db331bee5593f5868a78a.wav	 fourthbrain 	fourthbrain	1.3875
datasets/fourthbrain/610db355bee5593f5868a78c.wav	610db355bee5593f5868a78c.wav	 fourthbrain 	fourthbrain	1.325
datasets/fourthbrain/610db469b3a7b60345b4999a.wav	610db469b3a7b60345b4999a.wav	 fourthbrain 	fourthbrain	0.825
datasets/fourthbrain/610db81fbee5593f5868a825.wav	610db81fbee5593f5868a825.wav	 fourthbrain 	fourthbrain	1.075
datasets/fourthbrain/610db96bb4ffdeeaa7aea1df.wav	610db96bb4ffdeeaa7aea1df.wav	 fourthbrain 	fourthbrain	1.0125
datasets/fourthbrain/610db97cb3a7b60345b49ab4.wav	610db97cb3a7b60345b49ab4.wav	 fourthbrain 	fourthbrain	1.3875
datasets/fourthbrain/610db395b4ffdeeaa7aea094.wav	610db395b4ffdeeaa7aea094.wav	 fourthbrain 	fourthbrain	1.0125
datasets/fourthbrain/610db407b4ffdeeaa7aea0a8.wav	610db407b4ffdeeaa7aea0a8.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db180b3a7b60345b49932.wav	610db180b3a7b60345b49932.wav	 fourthbrain 	fourthbrain	0.825
datasets/fourthbrain/610db505b4ffdeeaa7aea0c5.wav	610db505b4ffdeeaa7aea0c5.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db510b3a7b60345b499ad.wav	610db510b3a7b60345b499ad.wav	 fourthbrain 	fourthbrain	1.5125
datasets/fourthbrain/610db852b4ffdeeaa7aea17c.wav	610db852b4ffdeeaa7aea17c.wav	 fourthbrain 	fourthbrain	1.0125
datasets/fourthbrain/610db94e3b684eae869a3f04.wav	610db94e3b684eae869a3f04.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db935bee5593f5868a864.wav	610db935bee5593f5868a864.wav	 fourthbrain 	fourthbrain	1.5125
datasets/fourthbrain/610db918b3a7b60345b49a9f.wav	610db918b3a7b60345b49a9f.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db635b4ffdeeaa7aea0f8.wav	610db635b4ffdeeaa7aea0f8.wav	 fourthbrain 	fourthbrain	1.1375
datasets/fourthbrain/610db938b4ffdeeaa7aea1d0.wav	610db938b4ffdeeaa7aea1d0.wav	 fourthbrain 	fourthbrain	1.0125
datasets/fourthbrain/610db920b4ffdeeaa7aea1c7.wav	610db920b4ffdeeaa7aea1c7.wav	 fourthbrain 	fourthbrain	1.1375
datasets/fourthbrain/610db685b3a7b60345b499e1.wav	610db685b3a7b60345b499e1.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db916bee5593f5868a859.wav	610db916bee5593f5868a859.wav	 fourthbrain 	fourthbrain	1.075
datasets/fourthbrain/610db677bee5593f5868a7cc.wav	610db677bee5593f5868a7cc.wav	 fourthbrain 	fourthbrain	1.2
datasets/fourthbrain/610db867b3a7b60345b49a6d.wav	610db867b3a7b60345b49a6d.wav	 fourthbrain 	fourthbrain	1.45
datasets/fourthbrain/610db975b4ffdeeaa7aea1e3.wav	610db975b4ffdeeaa7aea1e3.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db992bee5593f5868a881.wav	610db992bee5593f5868a881.wav	 fourthbrain 	fourthbrain	0.8875
datasets/fourthbrain/610db3433b684eae869a3e1f.wav	610db3433b684eae869a3e1f.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db968bee5593f5868a879.wav	610db968bee5593f5868a879.wav	 fourthbrain 	fourthbrain	1.075
datasets/fourthbrain/610db6943b684eae869a3e67.wav	610db6943b684eae869a3e67.wav	 fourthbrain 	fourthbrain	1.075
datasets/fourthbrain/610db6663b684eae869a3e60.wav	610db6663b684eae869a3e60.wav	 fourthbrain 	fourthbrain	0.8875
datasets/fourthbrain/610db866bee5593f5868a82e.wav	610db866bee5593f5868a82e.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610db6313b684eae869a3e57.wav	610db6313b684eae869a3e57.wav	 fourthbrain 	fourthbrain	1.45
datasets/fourthbrain/610db6783b684eae869a3e62.wav	610db6783b684eae869a3e62.wav	 fourthbrain 	fourthbrain	1.325
datasets/fourthbrain/610db708b4ffdeeaa7aea142.wav	610db708b4ffdeeaa7aea142.wav	 fourthbrain 	fourthbrain	1.325
datasets/fourthbrain/610db8133b684eae869a3ead.wav	610db8133b684eae869a3ead.wav	 fourthbrain 	fourthbrain	1.2
datasets/fourthbrain/610db8503b684eae869a3eba.wav	610db8503b684eae869a3eba.wav	 fourthbrain 	fourthbrain	1.075
datasets/fourthbrain/610db9863b684eae869a3f18.wav	610db9863b684eae869a3f18.wav	 fourthbrain 	fourthbrain	1.2625
datasets/fourthbrain/610dba2fb3a7b60345b49afc.wav	610dba2fb3a7b60345b49afc.wav	 fourthbrain 	fourthbrain	0.8875
datasets/fourthbrain/610db6893b684eae869a3e65.wav	610db6893b684eae869a3e65.wav	 fourthbrain 	fourthbrain	0.8875
datasets/fourthbrain/610db8343b684eae869a3eb4.wav	610db8343b684eae869a3eb4.wav	 fourthbrain 	fourthbrain	1.0125
datasets/fourthbrain/610dba363b684eae869a3f4b.wav	610dba363b684eae869a3f4b.wav	 fourthbrain 	fourthbrain	1.1375
datasets/fourthbrain/610dba4bb4ffdeeaa7aea22d.wav	610dba4bb4ffdeeaa7aea22d.wav	 fourthbrain 	fourthbrain	1.48125
datasets/fourthbrain/610dbb6ab4ffdeeaa7aea278.wav	610dbb6ab4ffdeeaa7aea278.wav	 fourthbrain 	fourthbrain	0.95
datasets/fourthbrain/610db8373b684eae869a3eb6.wav	610db8373b684eae869a3eb6.wav	 fourthbrain 	fourthbrain	1.2
datasets/fourthbrain/610dbaf1b3a7b60345b49b42.wav	610dbaf1b3a7b60345b49b42.wav	 fourthbrain 	fourthbrain	1.075
datasets/fourthbrain/610dba22bee5593f5868a8b5.wav	610dba22bee5593f5868a8b5.wav	 fourthbrain 	fourthbrain	1.45
